%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704359017950348585,0.0,0.0,0.0,0.0,0
1704359018450374482,0.0,0.0,0.0,0.0,0
1704359018950885410,0.0,0.0,0.0,0.0,0
1704359019450686198,0.0,0.0,0.0,0.0,0
1704359019952893260,0.0,0.0,0.0,0.0,0
1704359020451131591,0.0,0.0,0.0,0.0,0
1704359020951155972,0.0,0.0,0.0,0.0,0
1704359021451256291,0.0,0.0,0.0,0.0,0
1704359021951454268,0.0,0.0,0.0,0.0,0
1704359022451520794,0.0,0.0,0.0,0.0,0
1704359022951644360,0.0,0.0,0.0,0.0,0
1704359023452787994,0.0,0.0,0.0,0.0,0
1704359023951833665,0.0,0.0,0.0,0.0,0
1704359024452107019,0.0,0.0,0.0,0.0,0
1704359024952299874,0.0,0.0,0.0,0.0,0
1704359025452310634,0.0,0.0,0.0,0.0,0
1704359025952409709,0.0,0.0,0.0,0.0,0
1704359026452572877,0.0,0.0,0.0,0.0,0
1704359026952673314,0.0,0.0,0.0,0.0,0
1704359027452801866,0.0,0.0,0.0,0.0,0
1704359027952915800,0.0,0.0,0.0,0.0,0
1704359028453905120,0.0,0.0,0.0,0.0,0
1704359028953149459,0.0,0.0,0.0,0.0,0
1704359029453203885,0.0,0.0,0.0,0.0,0
1704359029953341147,0.0,0.0,0.0,0.0,0
1704359030453508532,0.0,0.0,0.0,0.0,0
1704359030953570887,0.0,0.0,0.0,0.0,0
1704359031453682796,0.0,0.0,0.0,0.0,0
1704359031953866969,0.0,0.0,0.0,0.0,0
1704359032454185174,0.0,0.0,0.0,0.0,0
1704359032954245864,0.0,0.0,0.0,0.0,0
1704359033454301430,0.00276,0.00276,0.00276,0.00276,0
1704359033954434702,0.00932,0.00932,0.00932,0.00932,0
1704359034454528882,0.01647,0.01647,0.01647,0.01647,0
1704359034955733423,0.02336,0.02336,0.02336,0.02336,0
1704359035454983669,0.02979,0.02979,0.02979,0.02979,0
1704359035955177429,0.03566,0.03566,0.03566,0.03566,0
1704359036455201571,0.04095,0.04095,0.04095,0.04095,0
1704359036955326130,0.04563,0.04563,0.04563,0.04563,0
1704359037455490873,0.04969,0.04969,0.04969,0.04969,0
1704359037955541439,0.05314,0.05314,0.05314,0.05314,0
1704359038455674896,0.05599,0.05599,0.05599,0.05599,0
1704359038955929599,0.05826,0.05826,0.05826,0.05826,0
1704359039455928383,0.06,0.06,0.06,0.06,0
1704359039956032592,0.06124,0.06124,0.06124,0.06124,0
1704359040456071889,0.06206,0.06206,0.06206,0.06206,0
1704359040956182143,0.06253,0.06253,0.06253,0.06253,0
1704359041456310784,0.06275,0.06275,0.06275,0.06275,0
1704359041956424257,0.06281,0.06281,0.06281,0.06281,0
1704359042456618311,0.06282,0.06282,0.06282,0.06282,0
1704359042956620699,0.06281,0.06285,0.06281,0.06285,0
1704359043456685499,0.06267,0.06299,0.06267,0.06299,0
1704359043956766698,0.06231,0.06335,0.06231,0.06335,0
1704359044456922217,0.06167,0.06399,0.06167,0.06399,0
1704359044956968788,0.06069,0.06498,0.06069,0.06498,0
1704359045457094061,0.05934,0.06635,0.05934,0.06635,0
1704359045957244423,0.05762,0.06812,0.05762,0.06812,0
1704359046457276580,0.05554,0.0703,0.05554,0.0703,0
1704359046957383230,0.05312,0.07288,0.05312,0.07288,0
1704359047457545345,0.0504,0.07585,0.0504,0.07585,0
1704359047957560659,0.04743,0.07917,0.04743,0.07917,0
1704359048457665987,0.04426,0.08282,0.04426,0.08282,0
1704359048957797227,0.04095,0.08674,0.04095,0.08674,0
1704359049457866301,0.03756,0.0909,0.03756,0.0909,0
1704359049957985487,0.03416,0.09522,0.03416,0.09522,0
1704359050458083485,0.0308,0.09965,0.0308,0.09965,0
1704359050958173693,0.02754,0.1041,0.02754,0.1041,0
1704359051458219660,0.02444,0.1085,0.02444,0.1085,0
1704359051958318465,0.02154,0.11277,0.02154,0.11277,0
1704359052458483265,0.01889,0.11683,0.01889,0.11683,0
1704359052958525956,0.01651,0.12059,0.01651,0.12059,0
1704359053458616660,0.01444,0.12398,0.01444,0.12398,0
1704359053958737928,0.0127,0.12694,0.0127,0.12694,0
1704359054459925483,0.01128,0.12941,0.01128,0.12941,0
1704359054959306033,0.0102,0.13138,0.0102,0.13138,0
1704359055459424005,0.00942,0.13285,0.00942,0.13285,0
1704359055959616290,0.00892,0.13383,0.00892,0.13383,0
1704359056459995824,0.00866,0.13439,0.00866,0.13439,0
