%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704359017950361149,-0.00018,-0.00018,-0.00018,-0.00018,0
1704359018450382342,-0.00047,-0.00047,-0.00047,-0.00047,0
1704359018950895695,-0.00102,-0.00102,-0.00102,-0.00102,0
1704359019450722658,-0.00189,-0.00189,-0.00189,-0.00189,0
1704359019952930036,-0.00313,-0.00313,-0.00313,-0.00313,0
1704359020451139172,-0.00478,-0.00478,-0.00478,-0.00478,0
1704359020951165781,-0.00686,-0.00686,-0.00686,-0.00686,0
1704359021451267402,-0.0094,-0.0094,-0.0094,-0.0094,0
1704359021951465938,-0.0124,-0.0124,-0.0124,-0.0124,0
1704359022451540099,-0.01585,-0.01585,-0.01585,-0.01585,0
1704359022951650399,-0.01976,-0.01976,-0.01976,-0.01976,0
1704359023452794990,-0.02409,-0.02409,-0.02409,-0.02409,0
1704359023951920242,-0.02881,-0.02881,-0.02881,-0.02881,0
1704359024452110172,-0.0339,-0.0339,-0.0339,-0.0339,0
1704359024952383624,-0.03932,-0.03932,-0.03932,-0.03932,0
1704359025452328480,-0.045,-0.045,-0.045,-0.045,0
1704359025952417394,-0.05091,-0.05091,-0.05091,-0.05091,0
1704359026452582589,-0.05699,-0.05699,-0.05699,-0.05699,0
1704359026952685774,-0.06318,-0.06318,-0.06318,-0.06318,0
1704359027452832014,-0.06943,-0.06943,-0.06943,-0.06943,0
1704359027952924613,-0.07568,-0.07568,-0.07568,-0.07568,0
1704359028453909203,-0.08187,-0.08187,-0.08187,-0.08187,0
1704359028953226899,-0.08797,-0.08797,-0.08797,-0.08797,0
1704359029453233960,-0.0939,-0.0939,-0.0939,-0.0939,0
1704359029953370730,-0.09964,-0.09964,-0.09964,-0.09964,0
1704359030453554326,-0.10515,-0.10515,-0.10515,-0.10515,0
1704359030953581842,-0.11038,-0.11038,-0.11038,-0.11038,0
1704359031453687623,-0.11532,-0.11532,-0.11532,-0.11532,0
1704359031953967100,-0.11993,-0.11993,-0.11993,-0.11993,0
