%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704358391339391128,0.0,0.0,0.0,1e-05,0
1704358391839491269,0.0,2e-05,0.0,5e-05,0
1704358392339610638,0.0,5e-05,0.0,0.00015,0
1704358392839700097,0.0,0.00012,0.0,0.00036,0
1704358393339819854,0.0,0.00024,0.0,0.00069,0
1704358393839974344,0.0,0.0004,0.0,0.00117,0
1704358394340105005,0.0,0.00063,0.0,0.00182,0
1704358394840270367,0.0,0.00092,0.0,0.00268,0
1704358395340475849,0.0,0.00129,0.0,0.00375,0
1704358395840582779,0.0,0.00173,0.0,0.00506,0
1704358396340643790,0.0,0.00227,0.0,0.00663,0
1704358396840760237,0.0,0.00289,0.0,0.00846,0
1704358397340905943,0.0,0.00361,0.0,0.01058,0
1704358397841018800,0.0,0.00442,0.0,0.01298,0
1704358398341049760,0.0,0.00534,0.0,0.01569,0
1704358398841170894,0.0,0.00635,0.0,0.01871,0
1704358399341293303,0.0,0.00747,0.0,0.02205,0
1704358399846272181,0.0,0.00868,0.0,0.02571,0
1704358400341518404,0.0,0.01,0.0,0.02969,0
1704358400841613803,0.0,0.01142,0.0,0.03399,0
1704358401342062793,0.0,0.01294,0.0,0.03861,0
1704358401842252455,0.0,0.01455,0.0,0.04356,0
1704358402342312038,0.0,0.01625,0.0,0.04882,0
1704358402842397207,0.0,0.01804,0.0,0.0544,0
1704358403342486766,0.0,0.01991,0.0,0.06027,0
1704358403842590884,0.0,0.02186,0.0,0.06644,0
1704358404342738553,0.0,0.02388,0.0,0.0729,0
1704358404842879171,0.0,0.02597,0.0,0.07963,0
1704358405343233310,0.0,0.02812,0.0,0.08663,0
1704358405843373131,0.0,0.03032,0.0,0.09387,0
1704358406343393945,0.0,0.03257,0.0,0.10134,0
1704358406843925230,0.0,0.03485,0.0,0.10903,0
1704358407343991371,0.0,0.03717,0.0,0.11691,0
1704358407844113014,0.0,0.03952,0.0,0.12498,0
1704358408344233792,0.0,0.04187,0.0,0.1332,0
1704358408844295851,0.0,0.04424,0.0,0.14157,0
1704358409344455255,0.0,0.0466,0.0,0.15004,0
1704358409844462787,0.0,0.04896,0.0,0.15861,0
1704358410344585813,0.0,0.0513,0.0,0.16726,0
1704358410844756238,0.0,0.05362,0.0,0.17594,0
1704358411344793309,0.0,0.0559,0.0,0.18465,0
1704358411844922522,0.0,0.05815,0.0,0.19335,0
1704358412344978846,0.0,0.06035,0.0,0.20203,0
1704358412845173971,0.0,0.0625,0.0,0.21065,0
1704358413345175226,0.0,0.06458,0.0,0.21919,0
1704358413845314466,0.0,0.0666,0.0,0.22762,0
1704358414345431373,0.0,0.06854,0.0,0.23592,0
1704358414845529785,0.0,0.07041,0.0,0.24406,0
1704358415345666888,0.0,0.07219,0.0,0.25202,0
1704358415845743350,0.0,0.07389,0.0,0.25977,0
1704358416345877941,0.0,0.07549,0.0,0.2673,0
1704358416845934772,0.0,0.07699,0.0,0.27457,0
1704358417346024577,0.0,0.0784,0.0,0.28157,0
1704358417846162384,0.0,0.0797,0.0,0.28828,0
1704358418347038829,0.0,0.0809,0.0,0.29469,0
1704358418847058128,0.0,0.082,0.0,0.30076,0
