%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704358391339447437,-5e-05,-5e-05,-5e-05,-5e-05,0
1704358391839544767,-8e-05,-6e-05,-7e-05,-7e-05,0
1704358392339628200,-0.00015,-0.00011,-0.00012,-0.00012,0
1704358392839715052,-0.00028,-0.00019,-0.00021,-0.00022,0
1704358393339906585,-0.00049,-0.00033,-0.00036,-0.00038,0
1704358393840012791,-0.00081,-0.00053,-0.00058,-0.00062,0
1704358394340117268,-0.00124,-0.0008,-0.00088,-0.00094,0
1704358394840283741,-0.0018,-0.00115,-0.00127,-0.00136,0
1704358395340485382,-0.0025,-0.0016,-0.00177,-0.00189,0
1704358395840598769,-0.00336,-0.00214,-0.00237,-0.00253,0
1704358396340656191,-0.00439,-0.00278,-0.00308,-0.0033,0
1704358396840773132,-0.00559,-0.00354,-0.00392,-0.0042,0
1704358397340916728,-0.00698,-0.00441,-0.00489,-0.00524,0
1704358397841028513,-0.00856,-0.0054,-0.00599,-0.00642,0
1704358398341057894,-0.01035,-0.00651,-0.00723,-0.00776,0
1704358398841186705,-0.01234,-0.00775,-0.00861,-0.00924,0
1704358399341302348,-0.01454,-0.00911,-0.01013,-0.01088,0
1704358399846276014,-0.01695,-0.0106,-0.0118,-0.01268,0
1704358400341545030,-0.01958,-0.01222,-0.01361,-0.01463,0
1704358400841622693,-0.02243,-0.01396,-0.01556,-0.01675,0
1704358401342074786,-0.0255,-0.01583,-0.01766,-0.01902,0
1704358401842263633,-0.02878,-0.01782,-0.01991,-0.02146,0
1704358402342321662,-0.03229,-0.01993,-0.02229,-0.02405,0
1704358402842500398,-0.03601,-0.02216,-0.02481,-0.02679,0
1704358403342494929,-0.03995,-0.02449,-0.02747,-0.02968,0
1704358403842632647,-0.04409,-0.02694,-0.03025,-0.03272,0
1704358404342747590,-0.04844,-0.02948,-0.03316,-0.03591,0
1704358404843091086,-0.053,-0.03213,-0.03619,-0.03923,0
1704358405343300715,-0.05775,-0.03485,-0.03934,-0.04268,0
1704358405843386826,-0.06268,-0.03767,-0.04259,-0.04626,0
1704358406343407968,-0.0678,-0.04055,-0.04594,-0.04995,0
1704358406843974552,-0.0731,-0.0435,-0.04938,-0.05375,0
1704358407343992367,-0.07856,-0.04651,-0.05291,-0.05766,0
1704358407844119036,-0.08419,-0.04957,-0.05652,-0.06166,0
1704358408344241845,-0.08996,-0.05267,-0.06019,-0.06574,0
1704358408844305416,-0.09587,-0.0558,-0.06393,-0.0699,0
1704358409344470869,-0.10192,-0.05896,-0.06772,-0.07412,0
1704358409844473339,-0.10808,-0.06212,-0.07155,-0.0784,0
1704358410344595560,-0.11435,-0.06529,-0.07541,-0.08272,0
1704358410844766878,-0.12073,-0.06845,-0.0793,-0.08707,0
1704358411344801524,-0.12719,-0.0716,-0.08321,-0.09144,0
1704358411844937691,-0.13373,-0.07472,-0.08712,-0.09583,0
1704358412345027656,-0.14033,-0.07781,-0.09103,-0.1002,0
1704358412845173983,-0.14699,-0.08085,-0.09492,-0.10457,0
1704358413345186245,-0.15369,-0.08384,-0.0988,-0.1089,0
1704358413845324872,-0.16042,-0.08677,-0.10265,-0.1132,0
1704358414345435124,-0.16716,-0.08963,-0.10646,-0.11745,0
1704358414845536128,-0.17392,-0.09241,-0.11022,-0.12163,0
1704358415345679196,-0.18067,-0.0951,-0.11394,-0.12573,0
1704358415845752352,-0.1874,-0.0977,-0.11759,-0.12975,0
1704358416346011767,-0.1941,-0.1002,-0.12117,-0.13366,0
1704358416845944949,-0.20076,-0.1026,-0.12468,-0.13747,0
1704358417346036554,-0.20737,-0.10488,-0.12812,-0.14115,0
1704358417846171371,-0.21391,-0.10705,-0.13146,-0.1447,0
1704358418347044513,-0.22038,-0.10909,-0.13472,-0.1481,0
1704358418847099761,-0.22677,-0.11101,-0.13788,-0.15136,0
1704358419347335766,-0.23307,-0.11281,-0.14094,-0.15445,0
1704358419847271449,-0.23926,-0.11447,-0.1439,-0.15737,0
1704358420347397292,-0.24533,-0.116,-0.14675,-0.16012,0
1704358420847490726,-0.25129,-0.1174,-0.1495,-0.16269,0
1704358421347695912,-0.25711,-0.11867,-0.15214,-0.16506,0
1704358421847701484,-0.26279,-0.1198,-0.15466,-0.16725,0
1704358422347766046,-0.26833,-0.12081,-0.15708,-0.16924,0
1704358422848015356,-0.27372,-0.12169,-0.15938,-0.17104,0
1704358423348036466,-0.27894,-0.12245,-0.16157,-0.17264,0
1704358423848126604,-0.284,-0.12309,-0.16365,-0.17405,0
1704358424348246570,-0.28889,-0.12362,-0.16562,-0.17527,0
1704358424848356003,-0.2936,-0.12404,-0.16748,-0.1763,0
1704358425348475581,-0.29813,-0.12435,-0.16923,-0.17715,0
1704358425848563353,-0.30248,-0.12457,-0.17088,-0.17782,0
1704358426348712889,-0.30664,-0.1247,-0.17243,-0.17833,0
1704358426848785460,-0.31061,-0.12475,-0.17387,-0.17868,0
1704358427348943744,-0.31439,-0.12473,-0.17522,-0.17888,0
1704358427849025355,-0.31798,-0.12464,-0.17648,-0.17895,0
1704358428349057506,-0.32138,-0.12449,-0.17765,-0.1789,0
1704358428849141927,-0.32458,-0.12429,-0.17873,-0.17874,0
1704358429349255879,-0.32759,-0.12406,-0.17972,-0.17849,0
1704358429849319585,-0.33041,-0.12379,-0.18064,-0.17816,0
1704358430349609397,-0.33304,-0.1235,-0.18148,-0.17776,0
1704358430850910626,-0.33547,-0.12319,-0.18224,-0.17731,0
1704358431349752047,-0.33773,-0.12287,-0.18294,-0.17682,0
1704358431849908969,-0.3398,-0.12254,-0.18357,-0.17631,0
1704358432349926033,-0.34169,-0.12222,-0.18414,-0.17579,0
1704358432850023631,-0.34341,-0.12191,-0.18465,-0.17527,0
1704358433350087267,-0.34496,-0.12161,-0.1851,-0.17477,0
1704358433850169979,-0.34634,-0.12133,-0.1855,-0.17428,0
1704358434350273164,-0.34756,-0.1221,-0.18658,-0.17383,0
1704358434850473143,-0.34863,-0.12335,-0.18793,-0.17341,0
1704358435350534072,-0.34956,-0.12463,-0.18924,-0.17303,0
1704358435850586329,-0.35034,-0.1258,-0.19042,-0.1727,0
1704358436350715861,-0.351,-0.12681,-0.19142,-0.17241,0
1704358436850767109,-0.35154,-0.12766,-0.19226,-0.17217,0
1704358437350977862,-0.35197,-0.12836,-0.19293,-0.17197,0
1704358437851005091,-0.3523,-0.1289,-0.19346,-0.17182,0
1704358438351084539,-0.35254,-0.12932,-0.19386,-0.17171,0
1704358438851832754,-0.3527,-0.12961,-0.19414,-0.17163,0
1704358439351290782,-0.3528,-0.12981,-0.19432,-0.17158,0
1704358439851412730,-0.35286,-0.12993,-0.19443,-0.17156,0
1704358440351642488,-0.35288,-0.12998,-0.19448,-0.17155,0
1704358440851668388,-0.35288,-0.13001,-0.19449,-0.17155,0
1704358441351747749,-0.35288,-0.13001,-0.1945,-0.17155,0
1704358441851848402,-0.35288,-0.13001,-0.1945,-0.17155,0
1704358442351949769,-0.35286,-0.13,-0.19448,-0.17156,0
1704358442852060669,-0.3528,-0.12994,-0.19441,-0.17158,0
1704358443352153008,-0.3527,-0.12982,-0.19429,-0.17163,0
1704358443852326171,-0.35254,-0.12963,-0.19408,-0.17171,0
1704358444352334747,-0.3523,-0.12933,-0.19376,-0.17182,0
1704358444852435558,-0.35197,-0.12892,-0.19333,-0.17197,0
1704358445352544738,-0.35154,-0.12838,-0.19276,-0.17217,0
1704358445852649335,-0.351,-0.1277,-0.19204,-0.17241,0
1704358446352829394,-0.35034,-0.12685,-0.19116,-0.1727,0
1704358446852822342,-0.34956,-0.12583,-0.1901,-0.17303,0
1704358447353011578,-0.34863,-0.12464,-0.18885,-0.17341,0
1704358447853076950,-0.34756,-0.12326,-0.18741,-0.17383,0
1704358448353261035,-0.34634,-0.1217,-0.18576,-0.17428,0
1704358448853279890,-0.34496,-0.12161,-0.1851,-0.17477,0
1704358449353350640,-0.34341,-0.12191,-0.18465,-0.17527,0
1704358449853509238,-0.34169,-0.12222,-0.18414,-0.17579,0
1704358450353537408,-0.3398,-0.12254,-0.18357,-0.17631,0
1704358450853658981,-0.33773,-0.12287,-0.18294,-0.17682,0
1704358451353752956,-0.33547,-0.12319,-0.18224,-0.17731,0
1704358451853918971,-0.33304,-0.1235,-0.18148,-0.17776,0
1704358452354163504,-0.33041,-0.12379,-0.18064,-0.17816,0
1704358452854083366,-0.32759,-0.12406,-0.17972,-0.17849,0
1704358453354243487,-0.32458,-0.12429,-0.17873,-0.17874,0
1704358453854264014,-0.32138,-0.12449,-0.17765,-0.1789,0
1704358454354413502,-0.31798,-0.12464,-0.17648,-0.17895,0
1704358454854474664,-0.31439,-0.12473,-0.17522,-0.17888,0
1704358455354584266,-0.31061,-0.12475,-0.17387,-0.17868,0
1704358455854782315,-0.30664,-0.1247,-0.17243,-0.17833,0
1704358456354877424,-0.30248,-0.12457,-0.17088,-0.17782,0
1704358456854951977,-0.29813,-0.12435,-0.16923,-0.17715,0
1704358457355840139,-0.2936,-0.12404,-0.16748,-0.1763,0
1704358457855195201,-0.28889,-0.12362,-0.16562,-0.17527,0
1704358458355335659,-0.284,-0.12309,-0.16365,-0.17405,0
1704358458855405918,-0.27894,-0.12245,-0.16157,-0.17264,0
1704358459355487950,-0.27372,-0.12169,-0.15938,-0.17104,0
1704358459855673543,-0.26833,-0.12081,-0.15708,-0.16924,0
1704358460355747147,-0.26279,-0.1198,-0.15466,-0.16725,0
1704358460855841742,-0.25711,-0.11867,-0.15214,-0.16506,0
1704358461355979128,-0.25129,-0.1174,-0.1495,-0.16269,0
1704358461856057866,-0.24533,-0.116,-0.14675,-0.16012,0
