%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704355159908339977,0.0,0.0,0.0,0.0,0
1704355160408451893,0.0,0.0,0.0,0.0,0
1704355160908703149,0.0,0.0,0.0,0.0,0
1704355161408965811,0.0,0.0,0.0,0.0,0
1704355161908988555,0.0,0.0,0.0,0.0,0
1704355162409025604,0.0,0.0,0.0,0.0,0
1704355162909343548,0.0,0.0,0.0,0.0,0
1704355163409423806,0.0,0.0,0.0,0.0,0
1704355163909532060,0.0,0.0,0.0,0.0,0
1704355164409622132,0.0,0.0,0.0,0.0,0
1704355164909706505,0.0,0.0,0.0,0.0,0
1704355165409894317,0.0,0.0,0.0,0.0,0
1704355165909947291,0.0,0.0,0.0,0.0,0
1704355166410020907,0.0,0.0,0.0,0.0,0
1704355166911238035,0.0,0.0,0.0,0.0,0
1704355167411432089,0.0,0.0,0.0,0.0,0
1704355167911535589,0.0,0.0,0.0,0.0,0
1704355168411653793,0.0,0.0,0.0,0.0,0
1704355168911753489,0.0,0.0,0.0,0.0,0
1704355169411903591,0.0,0.0,0.0,0.0,0
1704355169911944395,0.0,0.0,0.0,0.0,0
1704355170412070407,0.0,0.0,0.0,0.0,0
1704355170912367514,0.0,0.0,0.0,0.0,0
1704355171412408810,0.0,0.0,0.0,0.0,0
1704355171912580311,0.0,0.0,0.0,0.0,0
1704355172412604939,0.0,0.0,0.0,0.0,0
1704355172912879409,0.0,0.0,0.0,0.0,0
1704355173413145780,0.0,0.0,0.0,0.0,0
1704355173913071263,0.0,0.0,0.0,0.0,0
1704355174413272271,0.0,0.0,0.0,0.0,0
1704355174913318749,0.0,0.0,0.0,0.0,0
1704355175413483146,0.0,0.0,0.0,0.0,0
1704355175913493428,0.0,0.0,0.0,0.0,0
1704355176413685284,0.0,0.0,0.0,0.0,0
1704355176913714152,0.0,0.0,0.0,0.0,0
1704355177413802931,0.0,0.0,0.0,0.0,0
1704355177913965876,0.0,0.0,0.0,0.0,0
1704355178414091381,0.0,0.0,0.0,0.0,0
1704355178914202498,0.0,0.0,0.0,0.0,0
1704355179414317769,0.0,0.0,0.0,0.0,0
1704355179914455339,0.0,0.0,0.0,0.0,0
1704355180414541105,0.0,0.0,0.0,0.0,0
1704355180914643242,0.0,0.0,0.0,0.0,0
1704355181414735421,0.0,0.0,0.0,0.0,0
1704355181914842429,0.0,0.0,0.0,0.0,0
1704355182414919906,0.0,0.0,0.0,0.0,0
1704355182915090648,0.0,0.0,0.0,0.0,0
1704355183415156868,0.0,0.0,0.0,0.0,0
1704355183915247012,0.0,0.0,0.0,0.0,0
1704355184415335183,0.0,0.0,0.0,0.0,0
1704355184915531039,0.0,0.0,0.0,0.0,0
1704355185415538195,0.0,0.0,0.0,0.0,0
1704355185915663238,0.0,0.0,0.0,0.0,0
1704355186415735879,0.0,0.0,0.0,0.0,0
1704355186915892932,0.0,0.0,0.0,0.0,0
1704355187415984560,0.0,0.0,0.0,0.0,0
1704355187916123909,0.0,0.0,0.0,0.0,0
1704355188416206106,0.0,0.0,0.0,0.0,0
1704355188916300476,0.00425,0.00425,0.00425,0.00425,0
1704355189416543043,0.01257,0.01257,0.01257,0.01257,0
1704355189916605049,0.02107,0.02107,0.02107,0.02107,0
1704355190416666700,0.02946,0.02946,0.02946,0.02946,0
1704355190916761766,0.03772,0.03772,0.03772,0.03772,0
1704355191416889859,0.04583,0.04583,0.04583,0.04583,0
1704355191917156566,0.05377,0.05377,0.05377,0.05377,0
1704355192417127315,0.06154,0.06154,0.06154,0.06154,0
1704355192917190607,0.06911,0.06911,0.06911,0.06911,0
1704355193417308985,0.07648,0.07648,0.07648,0.07648,0
1704355193917410555,0.08364,0.08364,0.08364,0.08364,0
1704355194417526776,0.09058,0.09058,0.09058,0.09058,0
1704355194917633469,0.09728,0.09728,0.09728,0.09728,0
1704355195417832604,0.10373,0.10374,0.10374,0.10373,0
1704355195917977284,0.10994,0.10994,0.10994,0.10994,0
1704355196418050182,0.11589,0.11589,0.11589,0.11589,0
1704355196918172016,0.12157,0.12158,0.12158,0.12157,0
1704355197418287071,0.12699,0.12699,0.12699,0.12699,0
1704355197918376936,0.13212,0.13212,0.13212,0.13212,0
1704355198418570573,0.13698,0.13698,0.13698,0.13698,0
1704355198918646514,0.14155,0.14155,0.14155,0.14155,0
1704355199418765683,0.14584,0.14584,0.14584,0.14584,0
1704355199918782091,0.14984,0.14984,0.14984,0.14984,0
1704355200418972276,0.15355,0.15355,0.15355,0.15355,0
1704355200918981334,0.15698,0.15698,0.15698,0.15698,0
1704355201419127226,0.16013,0.16013,0.16013,0.16013,0
1704355201919162379,0.163,0.163,0.163,0.163,0
1704355202419260689,0.16559,0.16559,0.16559,0.16559,0
1704355202919448456,0.16792,0.16792,0.16792,0.16792,0
1704355203419494212,0.16998,0.16998,0.16998,0.16998,0
1704355203919561789,0.17179,0.17179,0.17179,0.17179,0
1704355204419661243,0.17337,0.17337,0.17337,0.17337,0
1704355204919819216,0.17471,0.17471,0.17471,0.17471,0
1704355205419982529,0.17583,0.17583,0.17583,0.17583,0
1704355205920049466,0.17675,0.17675,0.17675,0.17675,0
1704355206420151651,0.17749,0.17749,0.17749,0.17749,0
1704355206920225019,0.17805,0.17805,0.17805,0.17805,0
1704355207420336147,0.17847,0.17847,0.17847,0.17847,0
1704355207920437950,0.17876,0.17876,0.17876,0.17876,0
1704355208420549727,0.17893,0.17893,0.17893,0.17893,0
1704355208920650019,0.17903,0.17903,0.17903,0.17903,0
1704355209420840214,0.17907,0.17907,0.17907,0.17907,0
1704355209920836160,0.17907,0.17907,0.17907,0.17907,0
1704355210420970014,0.17907,0.17907,0.17907,0.17907,0
1704355210921125485,0.17907,0.17907,0.17907,0.17907,0
1704355211421288214,0.17903,0.17903,0.17903,0.17903,0
1704355211921328645,0.17895,0.17895,0.17895,0.17895,0
1704355212422784591,0.17878,0.17878,0.17878,0.17878,0
1704355212922086704,0.1785,0.1785,0.1785,0.1785,0
1704355213422266495,0.1781,0.1781,0.1781,0.1781,0
1704355213922291428,0.17755,0.17755,0.17755,0.17755,0
1704355214422389119,0.17684,0.17684,0.17684,0.17684,0
1704355214922562640,0.17594,0.17594,0.17594,0.17594,0
1704355215422652327,0.17483,0.17483,0.17483,0.17483,0
1704355215922686181,0.17351,0.17351,0.17351,0.17351,0
1704355216422798929,0.17197,0.17197,0.17197,0.17197,0
1704355216922947008,0.17018,0.17018,0.17018,0.17018,0
