%time,field.target0,field.target1,field.target2,field.target3,field.is_traj_end
1704355159908351416,-5e-05,-5e-05,-5e-05,-5e-05,0
1704355160408520319,-5e-05,-5e-05,-5e-05,-5e-05,0
1704355160908713160,-7e-05,-7e-05,-7e-05,-7e-05,0
1704355161408976288,-0.00013,-0.00013,-0.00013,-0.00013,0
1704355161909095971,-0.00025,-0.00025,-0.00025,-0.00025,0
1704355162409420684,-0.00043,-0.00043,-0.00043,-0.00043,0
1704355162909353947,-0.0007,-0.0007,-0.0007,-0.0007,0
1704355163409426551,-0.00107,-0.00107,-0.00107,-0.00107,0
1704355163909542843,-0.00155,-0.00155,-0.00155,-0.00155,0
1704355164409633047,-0.00215,-0.00215,-0.00215,-0.00215,0
1704355164909717065,-0.00289,-0.00289,-0.00289,-0.00289,0
1704355165409903322,-0.00376,-0.00376,-0.00376,-0.00376,0
1704355165909969289,-0.00479,-0.00479,-0.00479,-0.00479,0
1704355166411540831,-0.00597,-0.00597,-0.00597,-0.00597,0
1704355166911286809,-0.00731,-0.00731,-0.00731,-0.00731,0
1704355167411445386,-0.00882,-0.00882,-0.00882,-0.00882,0
1704355167911549242,-0.0105,-0.0105,-0.0105,-0.0105,0
1704355168411671670,-0.01235,-0.01235,-0.01235,-0.01235,0
1704355168911764081,-0.01437,-0.01437,-0.01437,-0.01437,0
1704355169411903590,-0.01656,-0.01656,-0.01656,-0.01656,0
1704355169911955964,-0.01893,-0.01893,-0.01893,-0.01893,0
1704355170412147562,-0.02146,-0.02146,-0.02146,-0.02146,0
1704355170912376741,-0.02415,-0.02415,-0.02415,-0.02415,0
1704355171412427997,-0.02701,-0.02701,-0.02701,-0.02701,0
1704355171912591423,-0.03002,-0.03002,-0.03002,-0.03002,0
1704355172412671047,-0.03319,-0.03319,-0.03319,-0.03319,0
1704355172912905872,-0.03649,-0.03649,-0.03649,-0.03649,0
1704355173413155013,-0.03993,-0.03993,-0.03993,-0.03993,0
1704355173913080369,-0.0435,-0.0435,-0.0435,-0.0435,0
1704355174413282015,-0.04718,-0.04718,-0.04718,-0.04718,0
1704355174913328333,-0.05097,-0.05097,-0.05097,-0.05097,0
1704355175413493131,-0.05486,-0.05486,-0.05486,-0.05486,0
1704355175913537227,-0.05883,-0.05883,-0.05883,-0.05883,0
1704355176413695670,-0.06287,-0.06287,-0.06287,-0.06287,0
1704355176913723890,-0.06698,-0.06698,-0.06698,-0.06698,0
1704355177413821669,-0.07113,-0.07113,-0.07113,-0.07113,0
1704355177914001129,-0.07532,-0.07532,-0.07532,-0.07532,0
1704355178414117665,-0.07954,-0.07954,-0.07954,-0.07954,0
1704355178914227125,-0.08376,-0.08376,-0.08376,-0.08376,0
1704355179414329610,-0.08798,-0.08798,-0.08798,-0.08798,0
1704355179914522072,-0.09218,-0.09218,-0.09218,-0.09218,0
1704355180414565837,-0.09636,-0.09636,-0.09636,-0.09636,0
1704355180914653885,-0.10049,-0.10049,-0.10049,-0.10049,0
1704355181414742419,-0.10457,-0.10457,-0.10457,-0.10457,0
1704355181914871434,-0.10858,-0.10858,-0.10858,-0.10858,0
1704355182414979097,-0.11251,-0.11251,-0.11251,-0.11251,0
1704355182915084082,-0.11635,-0.11635,-0.11635,-0.11635,0
1704355183415174490,-0.1201,-0.1201,-0.1201,-0.1201,0
1704355183915257071,-0.12373,-0.12373,-0.12373,-0.12373,0
1704355184415374144,-0.12724,-0.12724,-0.12724,-0.12724,0
1704355184915573563,-0.13063,-0.13063,-0.13063,-0.13063,0
1704355185415549528,-0.13388,-0.13388,-0.13388,-0.13388,0
1704355185915733177,-0.13699,-0.13699,-0.13699,-0.13699,0
1704355186415767002,-0.13995,-0.13995,-0.13995,-0.13995,0
1704355186915903908,-0.14275,-0.14275,-0.14275,-0.14275,0
1704355187416024575,-0.14541,-0.14541,-0.14541,-0.14541,0
1704355187916688962,-0.1479,-0.1479,-0.1479,-0.1479,0
1704355188416218740,-0.15024,-0.15024,-0.15024,-0.15024,0
1704355188916361775,-0.15577,-0.15577,-0.15577,-0.15577,0
1704355189416556860,-0.16446,-0.16446,-0.16446,-0.16446,0
1704355189916614731,-0.17326,-0.17326,-0.17326,-0.17326,0
1704355190416679329,-0.18194,-0.18194,-0.18194,-0.18194,0
1704355190916774269,-0.19047,-0.19047,-0.19047,-0.19047,0
1704355191416906689,-0.19884,-0.19884,-0.19884,-0.19884,0
1704355191917859727,-0.20703,-0.20703,-0.20703,-0.20703,0
1704355192417133638,-0.21503,-0.21504,-0.21504,-0.21503,0
1704355192917209879,-0.22284,-0.22284,-0.22284,-0.22284,0
1704355193417353391,-0.23043,-0.23043,-0.23043,-0.23043,0
1704355193917419837,-0.2378,-0.2378,-0.2378,-0.2378,0
1704355194417541190,-0.24493,-0.24493,-0.24493,-0.24493,0
1704355194917651368,-0.25182,-0.25182,-0.25182,-0.25182,0
1704355195417832609,-0.25846,-0.25846,-0.25846,-0.25846,0
1704355195918018649,-0.26484,-0.26484,-0.26484,-0.26484,0
1704355196418086639,-0.27095,-0.27095,-0.27095,-0.27095,0
1704355196918184168,-0.27678,-0.27678,-0.27678,-0.27678,0
1704355197418294514,-0.28234,-0.28234,-0.28234,-0.28234,0
1704355197918389423,-0.28761,-0.28761,-0.28761,-0.28761,0
1704355198418578288,-0.29259,-0.29259,-0.29259,-0.29259,0
1704355198918637442,-0.29727,-0.29727,-0.29727,-0.29727,0
1704355199418784858,-0.30167,-0.30167,-0.30167,-0.30167,0
1704355199918820478,-0.30577,-0.30577,-0.30577,-0.30577,0
1704355200418983443,-0.30957,-0.30957,-0.30957,-0.30957,0
1704355200918994838,-0.31309,-0.31309,-0.31309,-0.31309,0
1704355201419137322,-0.31631,-0.31631,-0.31631,-0.31631,0
1704355201919172504,-0.31925,-0.31925,-0.31925,-0.31925,0
1704355202419284567,-0.3219,-0.3219,-0.3219,-0.3219,0
1704355202919460249,-0.32428,-0.32428,-0.32428,-0.32428,0
1704355203419508159,-0.32639,-0.32639,-0.32639,-0.32639,0
1704355203919570757,-0.32825,-0.32825,-0.32825,-0.32825,0
